"domain","phylum","class","order","family","genus","species"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__UBA932","g__Cryptobacteroides","s__Cryptobacteroides sp900546925"
"d__Bacteria","p__Firmicutes_C","c__Negativicutes","o__Selenomonadales","f__Selenomonadaceae","g__Anaerovibrio","s__Anaerovibrio sp900548165"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__UBA932","g__Cryptobacteroides","s__Cryptobacteroides sp000433355"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__Prevotella sp002300055"
"d__Bacteria","p__Spirochaetota","c__Spirochaetia","o__Treponematales","f__Treponemataceae","g__Treponema_D","s__Treponema_D sp016293005"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__Prevotella sp900319905"
"d__Bacteria","p__Myxococcota","c__Bradymonadia","o__UBA4248","f__UBA4248","g__UBA4248","s__UBA4248 sp004554395"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__F082","g__Limimorpha","s__Limimorpha sp900769945"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__Prevotella sp000436915"
"d__Bacteria","p__Firmicutes_A","c__Clostridia","o__Christensenellales","f__CAG-917","g__CAG-349","s__CAG-349 sp003539515"
"d__Bacteria","p__Firmicutes_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Agathobacter","s__Agathobacter sp900549895"
